name,players,information,lives,moves,score
pure_random,5,7,0,16,4
random,5,8,0,11,2
internal,5,1,3,58,9
outer,5,1,3,57,10
cautious,5,0,3,56,12
pure_random,2,3,0,17,0
random,2,8,0,5,1
internal,2,1,3,74,14
outer,2,1,3,74,13
cautious,2,8,0,18,3
pure_random,3,6,0,7,0
random,3,8,0,7,1
internal,3,1,3,65,12
outer,3,1,3,63,14
cautious,3,1,3,64,14
pure_random,4,8,0,6,0
random,4,8,0,5,1
internal,4,1,3,61,14
outer,4,0,3,63,13
cautious,4,1,3,62,13
pure_random,5,7,0,10,1
random,5,7,0,4,0
internal,5,1,3,55,12
outer,5,1,3,57,10
cautious,5,1,3,56,11
pure_random,2,4,0,21,1
random,2,8,0,10,0
internal,2,1,3,76,12
outer,2,1,3,76,13
cautious,2,8,0,26,5
pure_random,3,7,0,13,1
random,3,6,0,13,0
internal,3,2,3,63,13
outer,3,1,3,63,14
cautious,3,1,3,63,15
pure_random,4,5,0,14,2
random,4,8,0,6,2
internal,4,1,3,65,11
outer,4,1,3,60,15
cautious,4,1,3,61,14
pure_random,5,4,0,23,5
random,5,7,0,7,0
internal,5,1,3,56,11
outer,5,1,3,57,10
cautious,5,1,3,57,10
pure_random,2,6,0,8,0
random,2,8,0,7,1
internal,2,1,3,74,14
outer,2,1,3,76,12
cautious,2,8,0,26,5
pure_random,3,7,0,10,0
random,3,6,0,6,1
internal,3,1,3,62,15
outer,3,1,3,63,15
cautious,3,1,3,62,15
pure_random,4,8,0,9,0
random,4,8,0,9,1
internal,4,1,3,63,13
outer,4,1,3,60,16
cautious,4,1,3,62,13
pure_random,5,7,0,7,0
random,5,8,0,13,0
internal,5,0,3,57,11
outer,5,1,3,57,10
cautious,5,1,3,56,11
pure_random,2,8,0,7,0
random,2,6,0,14,2
internal,2,1,3,76,11
outer,2,1,3,77,10
cautious,2,3,3,70,16
pure_random,3,4,0,14,0
random,3,8,0,6,1
internal,3,1,3,67,11
outer,3,1,3,64,14
cautious,3,0,3,64,15
pure_random,4,4,0,12,0
random,4,7,0,3,0
internal,4,1,3,62,13
outer,4,1,3,64,11
cautious,4,1,3,63,12
pure_random,5,8,0,12,4
random,5,8,0,3,0
internal,5,1,3,56,11
outer,5,1,3,56,11
cautious,5,1,3,57,10
pure_random,2,4,0,7,0
random,2,7,0,5,1
internal,2,0,3,75,13
outer,2,0,3,74,14
cautious,2,8,3,67,13
pure_random,3,7,0,13,2
random,3,7,0,6,0
internal,3,1,3,63,15
outer,3,1,3,63,15
cautious,3,1,3,64,14
pure_random,4,2,0,10,0
random,4,7,0,11,1
internal,4,1,3,64,11
outer,4,1,3,66,9
cautious,4,1,3,63,12
pure_random,5,7,0,16,1
random,5,8,0,13,4
internal,5,0,3,57,11
outer,5,0,3,56,12
cautious,5,1,3,56,11
pure_random,2,6,0,8,1
random,2,8,0,6,1
internal,2,1,3,73,15
outer,2,1,3,75,12
cautious,2,2,3,70,18
pure_random,3,8,0,12,1
random,3,7,0,9,0
internal,3,1,3,66,12
outer,3,1,3,65,12
cautious,3,0,3,64,16
pure_random,4,3,0,16,1
random,4,7,0,8,1
internal,4,1,3,62,13
outer,4,1,3,63,12
cautious,4,1,3,63,12
pure_random,5,6,0,9,1
random,5,8,0,2,0
internal,5,0,3,55,13
outer,5,1,3,55,12
cautious,5,0,3,56,12
pure_random,2,8,0,16,2
random,2,8,0,7,2
internal,2,1,3,76,11
outer,2,1,3,75,13
cautious,2,2,3,69,17
pure_random,3,1,0,20,1
random,3,5,0,13,5
internal,3,1,3,63,15
outer,3,1,3,62,15
cautious,3,0,3,65,13
pure_random,4,7,0,13,1
random,4,8,0,13,2
internal,4,1,3,64,11
outer,4,0,3,63,14
cautious,4,0,3,63,13
pure_random,5,7,0,6,0
random,5,7,0,7,1
internal,5,0,3,57,11
outer,5,0,3,57,11
cautious,5,1,3,57,10
pure_random,2,8,0,18,1
random,2,7,0,13,2
internal,2,0,3,76,12
outer,2,0,3,77,11
cautious,2,7,3,69,12
pure_random,3,8,0,13,1
random,3,7,0,15,4
internal,3,1,3,61,16
outer,3,0,3,65,14
cautious,3,0,3,63,15
pure_random,4,8,0,4,1
random,4,8,0,7,0
internal,4,1,3,63,13
outer,4,1,3,62,13
cautious,4,1,3,61,14
pure_random,5,8,0,8,3
random,5,6,0,10,2
internal,5,1,3,56,11
outer,5,1,3,56,11
cautious,5,1,3,57,10
pure_random,2,6,0,14,2
random,2,8,0,2,0
internal,2,0,3,77,11
outer,2,1,3,72,15
cautious,2,6,3,68,14
pure_random,3,5,0,14,2
random,3,8,0,8,1
internal,3,1,3,62,15
outer,3,1,3,64,13
cautious,3,1,3,62,16
pure_random,4,8,0,13,2
random,4,7,0,5,1
internal,4,1,3,63,12
outer,4,1,3,62,13
cautious,4,5,3,60,12
pure_random,5,7,0,6,0
